"","GEOID","NAME","variable","estimate","moe"
"1523","17043841003","Census Tract 8410.03, DuPage County, Illinois","B08006_008",105,52
"1524","17043841004","Census Tract 8410.04, DuPage County, Illinois","B08006_008",72,41
"1525","17043841102","Census Tract 8411.02, DuPage County, Illinois","B08006_008",199,107
"1526","17043841103","Census Tract 8411.03, DuPage County, Illinois","B08006_008",68,40
"1527","17043841104","Census Tract 8411.04, DuPage County, Illinois","B08006_008",62,34
"1528","17043841108","Census Tract 8411.08, DuPage County, Illinois","B08006_008",74,46
"1529","17043841109","Census Tract 8411.09, DuPage County, Illinois","B08006_008",56,46
"1530","17043841110","Census Tract 8411.10, DuPage County, Illinois","B08006_008",36,32
"1531","17043841111","Census Tract 8411.11, DuPage County, Illinois","B08006_008",81,67
"1532","17043841112","Census Tract 8411.12, DuPage County, Illinois","B08006_008",63,38
"1533","17043841113","Census Tract 8411.13, DuPage County, Illinois","B08006_008",36,34
"1534","17043841114","Census Tract 8411.14, DuPage County, Illinois","B08006_008",93,54
"1535","17043841204","Census Tract 8412.04, DuPage County, Illinois","B08006_008",88,54
"1536","17043841205","Census Tract 8412.05, DuPage County, Illinois","B08006_008",63,46
"1537","17043841206","Census Tract 8412.06, DuPage County, Illinois","B08006_008",45,28
"1538","17043841207","Census Tract 8412.07, DuPage County, Illinois","B08006_008",2,9
"1539","17043841208","Census Tract 8412.08, DuPage County, Illinois","B08006_008",74,64
"1540","17043841209","Census Tract 8412.09, DuPage County, Illinois","B08006_008",69,60
"1541","17043841210","Census Tract 8412.10, DuPage County, Illinois","B08006_008",66,43
"1542","17043841307","Census Tract 8413.07, DuPage County, Illinois","B08006_008",82,43
"1543","17043841308","Census Tract 8413.08, DuPage County, Illinois","B08006_008",84,46
"1544","17043841310","Census Tract 8413.10, DuPage County, Illinois","B08006_008",75,45
"1545","17043841312","Census Tract 8413.12, DuPage County, Illinois","B08006_008",54,41
"1546","17043841313","Census Tract 8413.13, DuPage County, Illinois","B08006_008",21,24
"1547","17043841314","Census Tract 8413.14, DuPage County, Illinois","B08006_008",163,105
"1548","17043841315","Census Tract 8413.15, DuPage County, Illinois","B08006_008",131,59
"1549","17043841316","Census Tract 8413.16, DuPage County, Illinois","B08006_008",101,52
"1550","17043841318","Census Tract 8413.18, DuPage County, Illinois","B08006_008",53,36
"1551","17043841320","Census Tract 8413.20, DuPage County, Illinois","B08006_008",73,36
"1552","17043841321","Census Tract 8413.21, DuPage County, Illinois","B08006_008",89,34
"1553","17043841322","Census Tract 8413.22, DuPage County, Illinois","B08006_008",49,38
"1554","17043841323","Census Tract 8413.23, DuPage County, Illinois","B08006_008",46,28
"1555","17043841324","Census Tract 8413.24, DuPage County, Illinois","B08006_008",95,38
"1556","17043841325","Census Tract 8413.25, DuPage County, Illinois","B08006_008",119,55
"1557","17043841326","Census Tract 8413.26, DuPage County, Illinois","B08006_008",93,46
"1558","17043841327","Census Tract 8413.27, DuPage County, Illinois","B08006_008",154,70
"1559","17043841401","Census Tract 8414.01, DuPage County, Illinois","B08006_008",102,70
"1560","17043841403","Census Tract 8414.03, DuPage County, Illinois","B08006_008",240,96
"1561","17043841404","Census Tract 8414.04, DuPage County, Illinois","B08006_008",51,39
"1562","17043841501","Census Tract 8415.01, DuPage County, Illinois","B08006_008",40,36
"1563","17043841503","Census Tract 8415.03, DuPage County, Illinois","B08006_008",31,29
"1564","17043841504","Census Tract 8415.04, DuPage County, Illinois","B08006_008",50,33
"1565","17043841603","Census Tract 8416.03, DuPage County, Illinois","B08006_008",123,64
"1566","17043841604","Census Tract 8416.04, DuPage County, Illinois","B08006_008",23,21
"1567","17043841605","Census Tract 8416.05, DuPage County, Illinois","B08006_008",29,29
"1568","17043841606","Census Tract 8416.06, DuPage County, Illinois","B08006_008",91,51
"1569","17043841607","Census Tract 8416.07, DuPage County, Illinois","B08006_008",81,38
"1570","17043841703","Census Tract 8417.03, DuPage County, Illinois","B08006_008",186,103
"1571","17043841704","Census Tract 8417.04, DuPage County, Illinois","B08006_008",192,56
"1572","17043841705","Census Tract 8417.05, DuPage County, Illinois","B08006_008",144,95
"1573","17043841706","Census Tract 8417.06, DuPage County, Illinois","B08006_008",54,33
"1574","17043841801","Census Tract 8418.01, DuPage County, Illinois","B08006_008",205,65
"1575","17043841802","Census Tract 8418.02, DuPage County, Illinois","B08006_008",144,63
"1576","17043841901","Census Tract 8419.01, DuPage County, Illinois","B08006_008",111,37
"1577","17043841902","Census Tract 8419.02, DuPage County, Illinois","B08006_008",161,69
"1578","17043842000","Census Tract 8420, DuPage County, Illinois","B08006_008",415,116
"1579","17043842100","Census Tract 8421, DuPage County, Illinois","B08006_008",323,130
"1580","17043842200","Census Tract 8422, DuPage County, Illinois","B08006_008",342,96
"1581","17043842300","Census Tract 8423, DuPage County, Illinois","B08006_008",261,73
"1582","17043842400","Census Tract 8424, DuPage County, Illinois","B08006_008",228,72
"1583","17043842500","Census Tract 8425, DuPage County, Illinois","B08006_008",291,86
"1584","17043842601","Census Tract 8426.01, DuPage County, Illinois","B08006_008",154,59
"1585","17043842602","Census Tract 8426.02, DuPage County, Illinois","B08006_008",210,63
"1586","17043842603","Census Tract 8426.03, DuPage County, Illinois","B08006_008",179,85
"1587","17043842604","Census Tract 8426.04, DuPage County, Illinois","B08006_008",90,42
"1588","17043842605","Census Tract 8426.05, DuPage County, Illinois","B08006_008",235,78
"1589","17043842702","Census Tract 8427.02, DuPage County, Illinois","B08006_008",190,63
"1590","17043842703","Census Tract 8427.03, DuPage County, Illinois","B08006_008",106,60
"1591","17043842704","Census Tract 8427.04, DuPage County, Illinois","B08006_008",162,105
"1592","17043842706","Census Tract 8427.06, DuPage County, Illinois","B08006_008",125,64
"1593","17043842708","Census Tract 8427.08, DuPage County, Illinois","B08006_008",105,39
"1594","17043842709","Census Tract 8427.09, DuPage County, Illinois","B08006_008",79,50
"1595","17043842710","Census Tract 8427.10, DuPage County, Illinois","B08006_008",158,75
"1596","17043842711","Census Tract 8427.11, DuPage County, Illinois","B08006_008",87,55
"1597","17043842800","Census Tract 8428, DuPage County, Illinois","B08006_008",254,78
"1598","17043842900","Census Tract 8429, DuPage County, Illinois","B08006_008",633,162
"1599","17043843000","Census Tract 8430, DuPage County, Illinois","B08006_008",275,89
"1600","17043843100","Census Tract 8431, DuPage County, Illinois","B08006_008",134,62
"1601","17043843200","Census Tract 8432, DuPage County, Illinois","B08006_008",111,58
"1602","17043843301","Census Tract 8433.01, DuPage County, Illinois","B08006_008",32,26
"1603","17043843302","Census Tract 8433.02, DuPage County, Illinois","B08006_008",135,51
"1604","17043843400","Census Tract 8434, DuPage County, Illinois","B08006_008",100,56
"1605","17043843500","Census Tract 8435, DuPage County, Illinois","B08006_008",244,113
"1606","17043843601","Census Tract 8436.01, DuPage County, Illinois","B08006_008",159,101
"1607","17043843602","Census Tract 8436.02, DuPage County, Illinois","B08006_008",81,50
"1608","17043843700","Census Tract 8437, DuPage County, Illinois","B08006_008",83,50
"1609","17043843800","Census Tract 8438, DuPage County, Illinois","B08006_008",120,59
"1610","17043843900","Census Tract 8439, DuPage County, Illinois","B08006_008",238,78
"1611","17043844001","Census Tract 8440.01, DuPage County, Illinois","B08006_008",156,62
"1612","17043844002","Census Tract 8440.02, DuPage County, Illinois","B08006_008",192,72
"1613","17043844100","Census Tract 8441, DuPage County, Illinois","B08006_008",239,96
"1614","17043844201","Census Tract 8442.01, DuPage County, Illinois","B08006_008",247,152
"1615","17043844202","Census Tract 8442.02, DuPage County, Illinois","B08006_008",143,54
"1616","17043844301","Census Tract 8443.01, DuPage County, Illinois","B08006_008",160,83
"1617","17043844304","Census Tract 8443.04, DuPage County, Illinois","B08006_008",102,52
"1618","17043844305","Census Tract 8443.05, DuPage County, Illinois","B08006_008",110,65
"1619","17043844306","Census Tract 8443.06, DuPage County, Illinois","B08006_008",34,33
"1620","17043844307","Census Tract 8443.07, DuPage County, Illinois","B08006_008",72,50
"1621","17043844401","Census Tract 8444.01, DuPage County, Illinois","B08006_008",109,54
"1622","17043844402","Census Tract 8444.02, DuPage County, Illinois","B08006_008",57,32
"1623","17043844501","Census Tract 8445.01, DuPage County, Illinois","B08006_008",35,27
"1624","17043844502","Census Tract 8445.02, DuPage County, Illinois","B08006_008",25,24
"1625","17043844601","Census Tract 8446.01, DuPage County, Illinois","B08006_008",57,39
"1626","17043844602","Census Tract 8446.02, DuPage County, Illinois","B08006_008",135,68
"1627","17043844701","Census Tract 8447.01, DuPage County, Illinois","B08006_008",196,102
"1628","17043844702","Census Tract 8447.02, DuPage County, Illinois","B08006_008",414,103
"1629","17043844801","Census Tract 8448.01, DuPage County, Illinois","B08006_008",247,89
"1630","17043844802","Census Tract 8448.02, DuPage County, Illinois","B08006_008",141,50
"1631","17043844901","Census Tract 8449.01, DuPage County, Illinois","B08006_008",300,89
"1632","17043844902","Census Tract 8449.02, DuPage County, Illinois","B08006_008",365,92
"1633","17043845000","Census Tract 8450, DuPage County, Illinois","B08006_008",391,150
"1634","17043845100","Census Tract 8451, DuPage County, Illinois","B08006_008",667,155
"1635","17043845200","Census Tract 8452, DuPage County, Illinois","B08006_008",515,125
"1636","17043845300","Census Tract 8453, DuPage County, Illinois","B08006_008",257,61
"1637","17043845401","Census Tract 8454.01, DuPage County, Illinois","B08006_008",96,55
"1638","17043845402","Census Tract 8454.02, DuPage County, Illinois","B08006_008",148,69
"1639","17043845502","Census Tract 8455.02, DuPage County, Illinois","B08006_008",170,85
"1640","17043845505","Census Tract 8455.05, DuPage County, Illinois","B08006_008",66,42
"1641","17043845506","Census Tract 8455.06, DuPage County, Illinois","B08006_008",50,33
"1642","17043845507","Census Tract 8455.07, DuPage County, Illinois","B08006_008",82,46
"1643","17043845508","Census Tract 8455.08, DuPage County, Illinois","B08006_008",106,51
"1644","17043845509","Census Tract 8455.09, DuPage County, Illinois","B08006_008",292,114
"1645","17043845510","Census Tract 8455.10, DuPage County, Illinois","B08006_008",201,106
"1646","17043845601","Census Tract 8456.01, DuPage County, Illinois","B08006_008",162,85
"1647","17043845602","Census Tract 8456.02, DuPage County, Illinois","B08006_008",321,110
"1648","17043845701","Census Tract 8457.01, DuPage County, Illinois","B08006_008",206,66
"1649","17043845702","Census Tract 8457.02, DuPage County, Illinois","B08006_008",248,78
"1650","17043845703","Census Tract 8457.03, DuPage County, Illinois","B08006_008",218,87
"1651","17043845704","Census Tract 8457.04, DuPage County, Illinois","B08006_008",232,124
"1652","17043845802","Census Tract 8458.02, DuPage County, Illinois","B08006_008",146,60
"1653","17043845803","Census Tract 8458.03, DuPage County, Illinois","B08006_008",63,65
"1654","17043845805","Census Tract 8458.05, DuPage County, Illinois","B08006_008",18,20
"1655","17043845807","Census Tract 8458.07, DuPage County, Illinois","B08006_008",264,120
"1656","17043845808","Census Tract 8458.08, DuPage County, Illinois","B08006_008",130,68
"1657","17043845809","Census Tract 8458.09, DuPage County, Illinois","B08006_008",71,41
"1658","17043845810","Census Tract 8458.10, DuPage County, Illinois","B08006_008",147,73
"1659","17043845811","Census Tract 8458.11, DuPage County, Illinois","B08006_008",82,55
