"","GEOID","NAME","variable","estimate","moe"
"446","17031243100","Census Tract 2431, Cook County, Illinois","B08014_002",132,82
"447","17031243200","Census Tract 2432, Cook County, Illinois","B08014_002",171,64
"448","17031243300","Census Tract 2433, Cook County, Illinois","B08014_002",240,102
"449","17031243400","Census Tract 2434, Cook County, Illinois","B08014_002",262,100
"450","17031243500","Census Tract 2435, Cook County, Illinois","B08014_002",424,128
"451","17031250200","Census Tract 2502, Cook County, Illinois","B08014_002",108,62
"452","17031250300","Census Tract 2503, Cook County, Illinois","B08014_002",234,113
"453","17031250400","Census Tract 2504, Cook County, Illinois","B08014_002",100,81
"454","17031250500","Census Tract 2505, Cook County, Illinois","B08014_002",309,200
"455","17031250600","Census Tract 2506, Cook County, Illinois","B08014_002",139,88
"456","17031250700","Census Tract 2507, Cook County, Illinois","B08014_002",249,161
"457","17031250800","Census Tract 2508, Cook County, Illinois","B08014_002",54,39
"458","17031251000","Census Tract 2510, Cook County, Illinois","B08014_002",76,49
"459","17031251100","Census Tract 2511, Cook County, Illinois","B08014_002",241,130
"460","17031251200","Census Tract 2512, Cook County, Illinois","B08014_002",141,78
"461","17031251300","Census Tract 2513, Cook County, Illinois","B08014_002",210,100
"462","17031251400","Census Tract 2514, Cook County, Illinois","B08014_002",367,129
"463","17031251500","Census Tract 2515, Cook County, Illinois","B08014_002",499,235
"464","17031251600","Census Tract 2516, Cook County, Illinois","B08014_002",253,159
"465","17031251700","Census Tract 2517, Cook County, Illinois","B08014_002",41,37
"466","17031251800","Census Tract 2518, Cook County, Illinois","B08014_002",387,129
"467","17031251900","Census Tract 2519, Cook County, Illinois","B08014_002",436,178
"468","17031252000","Census Tract 2520, Cook County, Illinois","B08014_002",889,301
"469","17031252101","Census Tract 2521.01, Cook County, Illinois","B08014_002",159,66
"470","17031252102","Census Tract 2521.02, Cook County, Illinois","B08014_002",360,201
"471","17031252201","Census Tract 2522.01, Cook County, Illinois","B08014_002",179,70
"472","17031252202","Census Tract 2522.02, Cook County, Illinois","B08014_002",353,142
"473","17031260100","Census Tract 2601, Cook County, Illinois","B08014_002",137,60
"474","17031260200","Census Tract 2602, Cook County, Illinois","B08014_002",92,44
"475","17031260300","Census Tract 2603, Cook County, Illinois","B08014_002",48,33
"476","17031260400","Census Tract 2604, Cook County, Illinois","B08014_002",67,49
"477","17031260500","Census Tract 2605, Cook County, Illinois","B08014_002",143,88
"478","17031260600","Census Tract 2606, Cook County, Illinois","B08014_002",124,78
"479","17031260700","Census Tract 2607, Cook County, Illinois","B08014_002",142,64
"480","17031260800","Census Tract 2608, Cook County, Illinois","B08014_002",230,72
"481","17031260900","Census Tract 2609, Cook County, Illinois","B08014_002",49,56
"482","17031261000","Census Tract 2610, Cook County, Illinois","B08014_002",100,54
"483","17031270500","Census Tract 2705, Cook County, Illinois","B08014_002",144,57
"484","17031271200","Census Tract 2712, Cook County, Illinois","B08014_002",72,34
"485","17031271300","Census Tract 2713, Cook County, Illinois","B08014_002",98,69
"486","17031271400","Census Tract 2714, Cook County, Illinois","B08014_002",98,64
"487","17031271500","Census Tract 2715, Cook County, Illinois","B08014_002",124,60
"488","17031271800","Census Tract 2718, Cook County, Illinois","B08014_002",43,37
"489","17031280100","Census Tract 2801, Cook County, Illinois","B08014_002",1440,249
"490","17031280400","Census Tract 2804, Cook County, Illinois","B08014_002",83,45
"491","17031280800","Census Tract 2808, Cook County, Illinois","B08014_002",62,46
"492","17031280900","Census Tract 2809, Cook County, Illinois","B08014_002",92,38
"493","17031281900","Census Tract 2819, Cook County, Illinois","B08014_002",1782,342
"494","17031282700","Census Tract 2827, Cook County, Illinois","B08014_002",66,47
"495","17031282800","Census Tract 2828, Cook County, Illinois","B08014_002",172,65
"496","17031283100","Census Tract 2831, Cook County, Illinois","B08014_002",438,169
"497","17031283200","Census Tract 2832, Cook County, Illinois","B08014_002",147,91
"498","17031283800","Census Tract 2838, Cook County, Illinois","B08014_002",166,86
"499","17031290900","Census Tract 2909, Cook County, Illinois","B08014_002",225,91
"500","17031291200","Census Tract 2912, Cook County, Illinois","B08014_002",234,106
"501","17031291600","Census Tract 2916, Cook County, Illinois","B08014_002",28,26
"502","17031292200","Census Tract 2922, Cook County, Illinois","B08014_002",150,61
"503","17031292400","Census Tract 2924, Cook County, Illinois","B08014_002",311,146
"504","17031292500","Census Tract 2925, Cook County, Illinois","B08014_002",446,190
"505","17031300500","Census Tract 3005, Cook County, Illinois","B08014_002",214,106
"506","17031300600","Census Tract 3006, Cook County, Illinois","B08014_002",124,67
"507","17031300700","Census Tract 3007, Cook County, Illinois","B08014_002",331,166
"508","17031300800","Census Tract 3008, Cook County, Illinois","B08014_002",222,116
"509","17031300900","Census Tract 3009, Cook County, Illinois","B08014_002",305,163
"510","17031301100","Census Tract 3011, Cook County, Illinois","B08014_002",144,64
"511","17031301200","Census Tract 3012, Cook County, Illinois","B08014_002",279,126
"512","17031301600","Census Tract 3016, Cook County, Illinois","B08014_002",106,67
"513","17031301701","Census Tract 3017.01, Cook County, Illinois","B08014_002",240,193
"514","17031301702","Census Tract 3017.02, Cook County, Illinois","B08014_002",227,152
"515","17031301801","Census Tract 3018.01, Cook County, Illinois","B08014_002",51,56
"516","17031301802","Census Tract 3018.02, Cook County, Illinois","B08014_002",107,54
"517","17031301803","Census Tract 3018.03, Cook County, Illinois","B08014_002",189,118
"518","17031310200","Census Tract 3102, Cook County, Illinois","B08014_002",89,38
"519","17031310300","Census Tract 3103, Cook County, Illinois","B08014_002",125,94
"520","17031310400","Census Tract 3104, Cook County, Illinois","B08014_002",139,70
"521","17031310500","Census Tract 3105, Cook County, Illinois","B08014_002",100,47
"522","17031310600","Census Tract 3106, Cook County, Illinois","B08014_002",543,220
"523","17031310700","Census Tract 3107, Cook County, Illinois","B08014_002",253,125
"524","17031310800","Census Tract 3108, Cook County, Illinois","B08014_002",695,251
"525","17031310900","Census Tract 3109, Cook County, Illinois","B08014_002",398,138
"526","17031320100","Census Tract 3201, Cook County, Illinois","B08014_002",2807,563
"527","17031320400","Census Tract 3204, Cook County, Illinois","B08014_002",157,44
"528","17031320600","Census Tract 3206, Cook County, Illinois","B08014_002",1112,320
"529","17031330100","Census Tract 3301, Cook County, Illinois","B08014_002",1582,596
"530","17031330200","Census Tract 3302, Cook County, Illinois","B08014_002",237,88
"531","17031340300","Census Tract 3403, Cook County, Illinois","B08014_002",122,73
"532","17031340400","Census Tract 3404, Cook County, Illinois","B08014_002",211,119
"533","17031340500","Census Tract 3405, Cook County, Illinois","B08014_002",219,78
"534","17031340600","Census Tract 3406, Cook County, Illinois","B08014_002",89,30
"535","17031350100","Census Tract 3501, Cook County, Illinois","B08014_002",247,89
"536","17031350400","Census Tract 3504, Cook County, Illinois","B08014_002",164,61
"537","17031351000","Census Tract 3510, Cook County, Illinois","B08014_002",488,173
